# TOPAS Version: 3.9,,,
# Parameter File: new.txt,,,
# Results for scorer: HASIL,,,
# Scored in component: Phantom,,,
# X in 1 bin  of 30 cm,,,
# Y in 1 bin  of 30 cm,,,
# Z in 301 bins of 0.0996678 cm,,,
# DoseToMedium ( Gy ) : Sum   ,,,
0,0,0,1.40377755997179E-06
0,0,1,1.43524800932937E-06
0,0,2,1.44301111504319E-06
0,0,3,1.45007322771562E-06
0,0,4,1.45949775287591E-06
0,0,5,1.46374884479883E-06
0,0,6,1.47223818203202E-06
0,0,7,1.47922969517822E-06
0,0,8,1.48767492191837E-06
0,0,9,1.48972196711839E-06
0,0,10,1.49456161580019E-06
0,0,11,1.50372875395988E-06
0,0,12,1.50412768107344E-06
0,0,13,1.50830783240963E-06
0,0,14,1.51404844928038E-06
0,0,15,1.51907454437605E-06
0,0,16,1.52460381741548E-06
0,0,17,1.52603354308667E-06
0,0,18,1.53161215621367E-06
0,0,19,1.53631037846935E-06
0,0,20,1.54117401507392E-06
0,0,21,1.54691042553168E-06
0,0,22,1.54875215230277E-06
0,0,23,1.55303018800623E-06
0,0,24,1.56036617227073E-06
0,0,25,1.56312876242737E-06
0,0,26,1.56660314587498E-06
0,0,27,1.57097099418024E-06
0,0,28,1.57181773374759E-06
0,0,29,1.5763083638376E-06
0,0,30,1.5813239997442E-06
0,0,31,1.58414638917748E-06
0,0,32,1.58855061727081E-06
0,0,33,1.59177318437287E-06
0,0,34,1.59008357059065E-06
0,0,35,1.59526621246187E-06
0,0,36,1.59828334744816E-06
0,0,37,1.6050296380854E-06
0,0,38,1.60900447099266E-06
0,0,39,1.61315188051958E-06
0,0,40,1.61698937972687E-06
0,0,41,1.61959815159207E-06
0,0,42,1.6216117728618E-06
0,0,43,1.62565186201391E-06
0,0,44,1.63080062520749E-06
0,0,45,1.63096603955637E-06
0,0,46,1.63556546795007E-06
0,0,47,1.63576919476327E-06
0,0,48,1.64014443271299E-06
0,0,49,1.64285177106649E-06
0,0,50,1.64538016633742E-06
0,0,51,1.64945186043042E-06
0,0,52,1.65182893852034E-06
0,0,53,1.65571611887572E-06
0,0,54,1.65918322636571E-06
0,0,55,1.66317147431982E-06
